,MSSubClass,MSZoning,LotArea,Street,Alley,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleCondition,SalePrice,LogSale,SaleTypeNew,PoolQCNon,HasGarage,GarageCond*GarageQual,Fireplaces*FireplaceQu,ElectricalSBr,HeatingGas,HasBasement,BsmtCond*BsmtQual,ExterCond*ExterQual,LandSlopeGtl,LotShapeReg,OverallQual*OverallCond
0,60,RL,8450,Pave,None,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,BrkFace,196.0,4,3,PConc,4,3,0,GLQ,706,0,150,856,5,1,856,854,0,1710,1,0,2,1,3,1,4,8,Typ,0,0,Attchd,2003.0,RFn,2,548,3,3,Y,0,61,0,0,0,0,None,0,2,2008,Normal,208500,12.247694320220994,0,1,1,9,0,1,1,1,12,12,1,1,35
1,20,RL,9600,Pave,None,Lvl,FR2,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,None,0.0,3,3,CBlock,4,3,3,ALQ,978,0,284,1262,5,1,1262,0,0,1262,0,1,2,0,3,1,3,6,Typ,1,3,Attchd,1976.0,RFn,2,460,3,3,Y,298,0,0,0,0,0,None,0,5,2007,Normal,181500,12.109010932687042,0,1,1,9,3,1,1,1,12,9,1,1,48
2,60,RL,11250,Pave,None,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,BrkFace,162.0,4,3,PConc,4,3,1,GLQ,486,0,434,920,5,1,920,866,0,1786,1,0,2,1,3,1,4,6,Typ,1,3,Attchd,2001.0,RFn,2,608,3,3,Y,0,42,0,0,0,0,None,0,9,2008,Normal,223500,12.31716669303576,0,1,1,9,3,1,1,1,12,12,1,0,35
3,70,RL,9550,Pave,None,Lvl,Corner,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,None,0.0,3,3,BrkTil,3,4,0,ALQ,216,0,540,756,4,1,961,756,0,1717,1,0,1,0,3,1,4,7,Typ,1,4,Detchd,1998.0,Unf,3,642,3,3,Y,0,35,272,0,0,0,None,0,2,2006,Abnorml,140000,11.84939770159144,0,1,1,9,4,1,1,1,12,9,1,0,35
4,60,RL,14260,Pave,None,Lvl,FR2,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,BrkFace,350.0,4,3,PConc,4,3,2,GLQ,655,0,490,1145,5,1,1145,1053,0,2198,1,0,2,1,4,1,4,9,Typ,1,3,Attchd,2000.0,RFn,3,836,3,3,Y,192,84,0,0,0,0,None,0,12,2008,Normal,250000,12.429216196844383,0,1,1,9,3,1,1,1,12,12,1,0,40
5,50,RL,14115,Pave,None,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,None,0.0,3,3,Wood,4,3,0,GLQ,732,0,64,796,5,1,796,566,0,1362,1,0,1,1,1,1,3,5,Typ,0,0,Attchd,1993.0,Unf,2,480,3,3,Y,40,30,0,320,0,0,MnPrv,700,10,2009,Normal,143000,11.870599909242044,0,1,1,9,0,1,1,1,12,9,1,0,25
6,20,RL,10084,Pave,None,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,Stone,186.0,4,3,PConc,5,3,2,GLQ,1369,0,317,1686,5,1,1694,0,0,1694,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,2004.0,RFn,2,636,3,3,Y,255,57,0,0,0,0,None,0,8,2007,Normal,307000,12.634603026569334,0,1,1,9,4,1,1,1,15,12,1,1,40
7,60,RL,10382,Pave,None,Lvl,Corner,NWAmes,Pos,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,Stone,240.0,3,3,CBlock,4,3,1,ALQ,859,32,216,1107,5,1,1107,983,0,2090,1,0,2,1,3,1,3,7,Typ,2,3,Attchd,1973.0,RFn,2,484,3,3,Y,235,204,228,0,0,0,None,350,11,2009,Normal,200000,12.206072645530174,0,1,1,9,6,1,1,1,12,9,1,0,42
8,50,RM,6120,Pave,None,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,None,0.0,3,3,BrkTil,3,3,0,Unf,0,0,952,952,4,1,1022,752,0,1774,0,0,2,0,2,2,3,8,MinMod,2,3,Detchd,1931.0,Unf,2,468,2,3,Y,90,0,205,0,0,0,None,0,4,2008,Abnorml,129900,11.77452020265869,0,1,1,6,6,0,1,1,9,9,1,1,35
9,190,RL,7420,Pave,None,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,None,0.0,3,3,BrkTil,3,3,0,GLQ,851,0,140,991,5,1,1077,0,0,1077,1,0,1,0,2,2,3,5,Typ,2,3,Attchd,1939.0,RFn,1,205,4,3,Y,0,4,0,0,0,0,None,0,1,2008,Normal,118000,11.678439903447801,0,1,1,12,6,1,1,1,9,9,1,1,30
10,20,RL,11200,Pave,None,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,None,0.0,3,3,CBlock,3,3,0,Rec,906,0,134,1040,5,1,1040,0,0,1040,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,1965.0,Unf,1,384,3,3,Y,0,0,0,0,0,0,None,0,2,2008,Normal,129500,11.771436160121729,0,1,1,9,0,1,1,1,9,9,1,1,25
11,60,RL,11924,Pave,None,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Stone,286.0,5,3,PConc,5,3,0,GLQ,998,0,177,1175,5,1,1182,1142,0,2324,1,0,3,0,4,1,5,11,Typ,2,4,BuiltIn,2005.0,Fin,3,736,3,3,Y,147,21,0,0,0,0,None,0,7,2006,Partial,345000,12.751299696013497,1,1,1,9,8,1,1,1,15,15,1,0,45
12,20,RL,12968,Pave,None,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,None,0.0,3,3,CBlock,3,3,0,ALQ,737,0,175,912,3,1,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,0,Detchd,1962.0,Unf,1,352,3,3,Y,140,0,0,0,176,0,None,0,9,2008,Normal,144000,11.877568578558138,0,1,1,9,0,1,1,1,9,9,1,0,30
13,20,RL,10652,Pave,None,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,Stone,306.0,4,3,PConc,4,3,2,Unf,0,0,1494,1494,5,1,1494,0,0,1494,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2006.0,RFn,3,840,3,3,Y,160,33,0,0,0,0,None,0,8,2007,Partial,279500,12.540757571577291,1,1,1,9,4,1,1,1,12,12,1,0,35
14,20,RL,10920,Pave,None,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,0,BLQ,733,0,520,1253,3,1,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,2,Attchd,1960.0,RFn,1,352,3,3,Y,0,213,176,0,0,0,GdWo,0,5,2008,Normal,157000,11.964001084330445,0,1,1,9,2,1,1,1,9,9,1,0,30
15,45,RM,6120,Pave,None,Lvl,Corner,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,Unf,0,0,832,832,5,1,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,0,Detchd,1991.0,Unf,2,576,3,3,Y,48,112,0,0,0,0,GdPrv,0,7,2007,Normal,132000,11.790557201568507,0,1,1,9,0,0,1,1,9,9,1,1,56
16,20,RL,11241,Pave,None,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,0,ALQ,578,0,426,1004,5,1,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,3,Attchd,1970.0,Fin,2,480,3,3,Y,0,0,0,0,0,0,None,700,3,2010,Normal,149000,11.911701584927597,0,1,1,9,3,1,1,1,9,9,1,0,42
17,90,RL,10791,Pave,None,Lvl,Inside,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,None,0.0,3,3,Slab,0,0,0,None,0,0,0,0,3,1,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,0,CarPort,1967.0,Unf,2,516,3,3,Y,0,0,0,0,0,0,None,500,10,2006,Normal,90000,11.407564949312402,0,1,1,9,0,1,1,0,0,9,1,1,20
18,20,RL,13695,Pave,None,Lvl,Inside,SawyerW,RR,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,None,0.0,3,3,PConc,3,3,0,GLQ,646,0,468,1114,5,1,1114,0,0,1114,1,0,1,1,3,1,4,6,Typ,0,0,Detchd,2004.0,Unf,2,576,3,3,Y,0,102,0,0,0,0,None,0,6,2008,Normal,159000,11.976659481202368,0,1,1,9,0,1,1,1,9,9,1,1,25
19,20,RL,7560,Pave,None,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,None,0.0,3,3,CBlock,3,3,0,LwQ,504,0,525,1029,3,1,1339,0,0,1339,0,0,1,0,3,1,3,6,MinMod,0,0,Attchd,1958.0,Unf,1,294,3,3,Y,0,0,0,0,0,0,MnPrv,0,5,2009,Abnorml,139000,11.842229212112828,0,1,1,9,0,1,1,1,9,9,1,1,30
