,Unnamed: 0,MSSubClass,MSZoning,LotArea,Street,Alley,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscVal,MoSold,YrSold,SaleCondition,SalePrice,LogSale,SaleTypeNew,PoolQCNon,HasGarage,GarageCond*GarageQual,Fireplaces*FireplaceQu,ElectricalSBr,HeatingGas,HasBasement,BsmtCond*BsmtQual,ExterCond*ExterQual,LandSlopeGtl,LotShapeReg,OverallQual*OverallCond,GarageYrBltSq,LotAreaBins,Has2ndFlr,TotalBsmtSFNegSq,GarageAreaBins,GrLivAreaNegSq,HasWoodDeck,HasOpenPorch,HasEnclosedPorch,Has3SsnPorch,HasScreenPorch
0,0,60,RL,8450,Pave,None,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,BrkFace,196.0,4,3,PConc,4,3,0,GLQ,706,150,856,5,1,856,854,1710,1,0,2,1,3,1,4,8,Typ,0,0,Attchd,2003.0,RFn,2,548,3,3,Y,0,61,0,0,0,None,0,2,2008,Normal,208500,12.247694320220996,0,1,1,9,0,1,1,1,12,12,1,1,35,4012009.0,<10000,1,-732736,<600,-2924100,0,1,0,0,0
1,1,20,RL,9600,Pave,None,Lvl,FR2,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,None,0.0,3,3,CBlock,4,3,3,ALQ,978,284,1262,5,1,1262,0,1262,0,1,2,0,3,1,3,6,Typ,1,3,Attchd,1976.0,RFn,2,460,3,3,Y,298,0,0,0,0,None,0,5,2007,Normal,181500,12.109010932687044,0,1,1,9,3,1,1,1,12,9,1,1,48,3904576.0,<10000,0,-1592644,<600,-1592644,1,0,0,0,0
2,2,60,RL,11250,Pave,None,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,BrkFace,162.0,4,3,PConc,4,3,1,GLQ,486,434,920,5,1,920,866,1786,1,0,2,1,3,1,4,6,Typ,1,3,Attchd,2001.0,RFn,2,608,3,3,Y,0,42,0,0,0,None,0,9,2008,Normal,223500,12.31716669303576,0,1,1,9,3,1,1,1,12,12,1,0,35,4004001.0,<15000,1,-846400,<900,-3189796,0,1,0,0,0
3,3,70,RL,9550,Pave,None,Lvl,Corner,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,None,0.0,3,3,BrkTil,3,4,0,ALQ,216,540,756,4,1,961,756,1717,1,0,1,0,3,1,4,7,Typ,1,4,Detchd,1998.0,Unf,3,642,3,3,Y,0,35,272,0,0,None,0,2,2006,Abnorml,140000,11.849397701591439,0,1,1,9,4,1,1,1,12,9,1,0,35,3992004.0,<10000,1,-571536,<900,-2948089,0,1,1,0,0
4,4,60,RL,14260,Pave,None,Lvl,FR2,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,BrkFace,350.0,4,3,PConc,4,3,2,GLQ,655,490,1145,5,1,1145,1053,2198,1,0,2,1,4,1,4,9,Typ,1,3,Attchd,2000.0,RFn,3,836,3,3,Y,192,84,0,0,0,None,0,12,2008,Normal,250000,12.429216196844385,0,1,1,9,3,1,1,1,12,12,1,0,40,4000000.0,<15000,1,-1311025,<900,-4831204,1,1,0,0,0
5,5,50,RL,14115,Pave,None,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,None,0.0,3,3,Wood,4,3,0,GLQ,732,64,796,5,1,796,566,1362,1,0,1,1,1,1,3,5,Typ,0,0,Attchd,1993.0,Unf,2,480,3,3,Y,40,30,0,320,0,MnPrv,700,10,2009,Normal,143000,11.870599909242046,0,1,1,9,0,1,1,1,12,9,1,0,25,3972049.0,<15000,1,-633616,<600,-1855044,1,1,0,1,0
6,6,20,RL,10084,Pave,None,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,Stone,186.0,4,3,PConc,5,3,2,GLQ,1369,317,1686,5,1,1694,0,1694,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,2004.0,RFn,2,636,3,3,Y,255,57,0,0,0,None,0,8,2007,Normal,307000,12.634603026569335,0,1,1,9,4,1,1,1,15,12,1,1,40,4016016.0,<15000,0,-2842596,<900,-2869636,1,1,0,0,0
7,7,60,RL,10382,Pave,None,Lvl,Corner,NWAmes,Pos,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,Stone,240.0,3,3,CBlock,4,3,1,ALQ,859,216,1107,5,1,1107,983,2090,1,0,2,1,3,1,3,7,Typ,2,3,Attchd,1973.0,RFn,2,484,3,3,Y,235,204,228,0,0,None,350,11,2009,Normal,200000,12.206072645530176,0,1,1,9,6,1,1,1,12,9,1,0,42,3892729.0,<15000,1,-1225449,<600,-4368100,1,1,1,0,0
8,8,50,RM,6120,Pave,None,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,None,0.0,3,3,BrkTil,3,3,0,Unf,0,952,952,4,1,1022,752,1774,0,0,2,0,2,2,3,8,MinMod,2,3,Detchd,1931.0,Unf,2,468,2,3,Y,90,0,205,0,0,None,0,4,2008,Abnorml,129900,11.774520202658689,0,1,1,6,6,0,1,1,9,9,1,1,35,3728761.0,<10000,1,-906304,<600,-3147076,1,0,1,0,0
9,9,190,RL,7420,Pave,None,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,None,0.0,3,3,BrkTil,3,3,0,GLQ,851,140,991,5,1,1077,0,1077,1,0,1,0,2,2,3,5,Typ,2,3,Attchd,1939.0,RFn,1,205,4,3,Y,0,4,0,0,0,None,0,1,2008,Normal,118000,11.6784399034478,0,1,1,12,6,1,1,1,9,9,1,1,30,3759721.0,<10000,0,-982081,<300,-1159929,0,1,0,0,0
