,index,id,date,start,win_home,home_away,team,win,team_wins,team_games,running_pct,team_lagged,win_lagged,win_streak
0,7,7,10/17/2018,19:00,TRUE,away_team,Atlanta Hawks,FALSE,0,1,0,FALSE,FALSE,0
1,18,18,10/19/2018,20:00,TRUE,away_team,Atlanta Hawks,FALSE,0,2,0,Atlanta Hawks,FALSE,0
2,35,35,10/21/2018,18:00,FALSE,away_team,Atlanta Hawks,TRUE,1,3,0.333333333,Atlanta Hawks,FALSE,0
3,1278,51,10/24/2018,19:00,TRUE,home_team,Atlanta Hawks,TRUE,2,4,0.5,Atlanta Hawks,TRUE,1
4,1300,73,10/27/2018,19:00,FALSE,home_team,Atlanta Hawks,FALSE,2,5,0.4,Atlanta Hawks,TRUE,2
5,93,93,10/29/2018,19:00,TRUE,away_team,Atlanta Hawks,FALSE,2,6,0.333333333,Atlanta Hawks,FALSE,0
6,97,97,10/30/2018,19:00,TRUE,away_team,Atlanta Hawks,FALSE,2,7,0.285714286,Atlanta Hawks,FALSE,0
7,1337,110,11/1/2018,19:00,FALSE,home_team,Atlanta Hawks,FALSE,2,8,0.25,Atlanta Hawks,FALSE,0
8,1351,124,11/3/2018,19:00,TRUE,home_team,Atlanta Hawks,TRUE,3,9,0.333333333,Atlanta Hawks,FALSE,0
9,148,148,11/6/2018,19:00,TRUE,away_team,Atlanta Hawks,FALSE,3,10,0.3,Atlanta Hawks,TRUE,1
10,1379,152,11/7/2018,19:00,FALSE,home_team,Atlanta Hawks,FALSE,3,11,0.272727273,Atlanta Hawks,FALSE,0
11,1393,166,11/9/2018,19:00,FALSE,home_team,Atlanta Hawks,FALSE,3,12,0.25,Atlanta Hawks,FALSE,0
12,186,186,11/11/2018,21:00,TRUE,away_team,Atlanta Hawks,FALSE,3,13,0.230769231,Atlanta Hawks,FALSE,0
13,200,200,11/13/2018,22:00,TRUE,away_team,Atlanta Hawks,FALSE,3,14,0.214285714,Atlanta Hawks,FALSE,0
14,212,212,11/15/2018,21:00,TRUE,away_team,Atlanta Hawks,FALSE,3,15,0.2,Atlanta Hawks,FALSE,0
15,229,229,11/17/2018,19:00,TRUE,away_team,Atlanta Hawks,FALSE,3,16,0.1875,Atlanta Hawks,FALSE,0
16,1465,238,11/19/2018,19:00,FALSE,home_team,Atlanta Hawks,FALSE,3,17,0.176470588,Atlanta Hawks,FALSE,0
17,1478,251,11/21/2018,19:00,FALSE,home_team,Atlanta Hawks,FALSE,3,18,0.166666667,Atlanta Hawks,FALSE,0
18,1491,264,11/23/2018,19:00,FALSE,home_team,Atlanta Hawks,FALSE,3,19,0.157894737,Atlanta Hawks,FALSE,0
19,1512,285,11/25/2018,18:00,TRUE,home_team,Atlanta Hawks,TRUE,4,20,0.2,Atlanta Hawks,FALSE,0
20,303,303,11/27/2018,19:00,FALSE,away_team,Atlanta Hawks,TRUE,5,21,0.238095238,Atlanta Hawks,TRUE,1
21,306,306,11/28/2018,19:00,TRUE,away_team,Atlanta Hawks,FALSE,5,22,0.227272727,Atlanta Hawks,TRUE,2
22,324,324,11/30/2018,20:00,TRUE,away_team,Atlanta Hawks,FALSE,5,23,0.217391304,Atlanta Hawks,FALSE,0
23,1569,342,12/3/2018,19:00,FALSE,home_team,Atlanta Hawks,FALSE,5,24,0.208333333,Atlanta Hawks,FALSE,0
24,1581,354,12/5/2018,19:00,FALSE,home_team,Atlanta Hawks,FALSE,5,25,0.2,Atlanta Hawks,FALSE,0
25,1604,377,12/8/2018,19:00,TRUE,home_team,Atlanta Hawks,TRUE,6,26,0.230769231,Atlanta Hawks,FALSE,0
26,406,406,12/12/2018,20:00,TRUE,away_team,Atlanta Hawks,FALSE,6,27,0.222222222,Atlanta Hawks,TRUE,1
27,418,419,12/14/2018,19:00,TRUE,away_team,Atlanta Hawks,FALSE,6,28,0.214285714,Atlanta Hawks,FALSE,0
28,433,435,12/16/2018,15:00,TRUE,away_team,Atlanta Hawks,FALSE,6,29,0.206896552,Atlanta Hawks,FALSE,0
29,1675,450,12/18/2018,19:00,TRUE,home_team,Atlanta Hawks,TRUE,7,30,0.233333333,Atlanta Hawks,FALSE,0
30,471,473,12/21/2018,19:00,FALSE,away_team,Atlanta Hawks,TRUE,8,31,0.258064516,Atlanta Hawks,TRUE,1
31,486,488,12/23/2018,16:00,FALSE,away_team,Atlanta Hawks,TRUE,9,32,0.28125,Atlanta Hawks,TRUE,2
32,1726,501,12/26/2018,19:00,FALSE,home_team,Atlanta Hawks,FALSE,9,33,0.272727273,Atlanta Hawks,TRUE,3
33,519,521,12/28/2018,20:00,FALSE,away_team,Atlanta Hawks,TRUE,10,34,0.294117647,Atlanta Hawks,FALSE,0
34,1751,526,12/29/2018,19:00,TRUE,home_team,Atlanta Hawks,TRUE,11,35,0.314285714,Atlanta Hawks,TRUE,1
35,541,543,12/31/2018,15:00,TRUE,away_team,Atlanta Hawks,FALSE,11,36,0.305555556,Atlanta Hawks,TRUE,2
36,559,561,1/2/2019,19:00,TRUE,away_team,Atlanta Hawks,FALSE,11,37,0.297297297,Atlanta Hawks,FALSE,0
37,569,571,1/4/2019,20:00,TRUE,away_team,Atlanta Hawks,FALSE,11,38,0.289473684,Atlanta Hawks,FALSE,0
38,1808,583,1/6/2019,18:00,TRUE,home_team,Atlanta Hawks,TRUE,12,39,0.307692308,Atlanta Hawks,FALSE,0
39,603,605,1/8/2019,19:00,TRUE,away_team,Atlanta Hawks,FALSE,12,40,0.3,Atlanta Hawks,TRUE,1
40,605,607,1/9/2019,19:00,TRUE,away_team,Atlanta Hawks,FALSE,12,41,0.292682927,Atlanta Hawks,FALSE,0
41,622,624,1/11/2019,19:00,FALSE,away_team,Atlanta Hawks,TRUE,13,42,0.30952381,Atlanta Hawks,FALSE,0
42,1862,637,1/13/2019,15:00,FALSE,home_team,Atlanta Hawks,FALSE,13,43,0.302325581,Atlanta Hawks,TRUE,1
43,1875,650,1/15/2019,19:00,TRUE,home_team,Atlanta Hawks,TRUE,14,44,0.318181818,Atlanta Hawks,FALSE,0
44,1901,677,1/19/2019,19:00,FALSE,home_team,Atlanta Hawks,FALSE,14,45,0.311111111,Atlanta Hawks,TRUE,1
45,1914,690,1/21/2019,15:00,FALSE,home_team,Atlanta Hawks,FALSE,14,46,0.304347826,Atlanta Hawks,FALSE,0
46,704,707,1/23/2019,20:00,FALSE,away_team,Atlanta Hawks,TRUE,15,47,0.319148936,Atlanta Hawks,FALSE,0
47,730,733,1/26/2019,22:00,TRUE,away_team,Atlanta Hawks,FALSE,15,48,0.3125,Atlanta Hawks,TRUE,1
48,743,746,1/28/2019,22:00,FALSE,away_team,Atlanta Hawks,TRUE,16,49,0.326530612,Atlanta Hawks,FALSE,0
49,758,761,1/30/2019,22:00,TRUE,away_team,Atlanta Hawks,FALSE,16,50,0.32,Atlanta Hawks,TRUE,1
50,770,773,2/1/2019,21:00,TRUE,away_team,Atlanta Hawks,FALSE,16,51,0.31372549,Atlanta Hawks,FALSE,0
51,778,781,2/2/2019,21:00,FALSE,away_team,Atlanta Hawks,TRUE,17,52,0.326923077,Atlanta Hawks,FALSE,0
